id,name,symbol,slug,rank,is_active,first_historical_data,last_historical_data
9725,Butter TOken,BUTTER,butter-token,4649,1,2021-05-12T08:12:07.000Z,2021-08-12T21:49:05.000Z
9725,Butter TOken,BUTTER,butter-token,4649,1,2021-05-12T08:12:07.000Z,2021-08-12T21:49:05.000Z
9727,Maker Basic-MKB,MKB,maker-basic-mkb,4136,1,2021-05-17T19:45:05.000Z,2021-08-12T21:50:05.000Z
9729,Doge Father Token,DOGETF,doge-father-token,4311,1,2021-05-12T09:15:07.000Z,2021-08-12T21:50:05.000Z
9729,Doge Father Token,DOGETF,doge-father-token,4311,1,2021-05-12T09:15:07.000Z,2021-08-12T21:50:05.000Z
9729,Doge Father Token,DOGETF,doge-father-token,4311,1,2021-05-12T09:15:07.000Z,2021-08-12T21:50:05.000Z
9729,Doge Father Token,DOGETF,doge-father-token,4311,1,2021-05-12T09:15:07.000Z,2021-08-12T21:50:05.000Z
9729,Doge Father Token,DOGETF,doge-father-token,4311,1,2021-05-12T09:15:07.000Z,2021-08-12T21:50:05.000Z
9730,Shikokuaido,SHOKK,shikokuaido,5708,1,2021-05-12T09:00:07.000Z,2021-08-12T21:50:05.000Z
9730,Shikokuaido,SHOKK,shikokuaido,5708,1,2021-05-12T09:00:07.000Z,2021-08-12T21:50:05.000Z
9730,Shikokuaido,SHOKK,shikokuaido,5708,1,2021-05-12T09:00:07.000Z,2021-08-12T21:50:05.000Z
9730,Shikokuaido,SHOKK,shikokuaido,5708,1,2021-05-12T09:00:07.000Z,2021-08-12T21:50:05.000Z
9730,Shikokuaido,SHOKK,shikokuaido,5708,1,2021-05-12T09:00:07.000Z,2021-08-12T21:50:05.000Z
9731,Blue Eyes White Doge,BDOGE,blue-eyes-white-doge,5709,1,2021-05-12T09:30:07.000Z,2021-08-12T21:50:05.000Z
9731,Blue Eyes White Doge,BDOGE,blue-eyes-white-doge,5709,1,2021-05-12T09:30:07.000Z,2021-08-12T21:50:05.000Z
9731,Blue Eyes White Doge,BDOGE,blue-eyes-white-doge,5709,1,2021-05-12T09:30:07.000Z,2021-08-12T21:50:05.000Z
9731,Blue Eyes White Doge,BDOGE,blue-eyes-white-doge,5709,1,2021-05-12T09:30:07.000Z,2021-08-12T21:50:05.000Z
9731,Blue Eyes White Doge,BDOGE,blue-eyes-white-doge,5709,1,2021-05-12T09:30:07.000Z,2021-08-12T21:50:05.000Z
9732,Dogefather,DOGEFATHER,dogefather,4370,1,2021-05-12T10:00:07.000Z,2021-08-12T21:50:05.000Z
9732,Dogefather,DOGEFATHER,dogefather,4370,1,2021-05-12T10:00:07.000Z,2021-08-12T21:50:05.000Z
9732,Dogefather,DOGEFATHER,dogefather,4370,1,2021-05-12T10:00:07.000Z,2021-08-12T21:50:05.000Z
9732,Dogefather,DOGEFATHER,dogefather,4370,1,2021-05-12T10:00:07.000Z,2021-08-12T21:50:05.000Z
9732,Dogefather,DOGEFATHER,dogefather,4370,1,2021-05-12T10:00:07.000Z,2021-08-12T21:50:05.000Z
9733,BlossomCoin,BLOSM,blossomcoin,5710,1,2021-05-20T14:51:00.000Z,2021-08-12T21:46:05.000Z
9733,BlossomCoin,BLOSM,blossomcoin,5710,1,2021-05-20T14:51:00.000Z,2021-08-12T21:46:05.000Z
9733,BlossomCoin,BLOSM,blossomcoin,5710,1,2021-05-20T14:51:00.000Z,2021-08-12T21:46:05.000Z
9733,BlossomCoin,BLOSM,blossomcoin,5710,1,2021-05-20T14:51:00.000Z,2021-08-12T21:46:05.000Z
9733,BlossomCoin,BLOSM,blossomcoin,5710,1,2021-05-20T14:51:00.000Z,2021-08-12T21:46:05.000Z
9734,Saferune,SAFERUNE,saferune,4689,1,2021-05-12T10:51:06.000Z,2021-08-12T21:49:05.000Z
9734,Saferune,SAFERUNE,saferune,4689,1,2021-05-12T10:51:06.000Z,2021-08-12T21:49:05.000Z
9734,Saferune,SAFERUNE,saferune,4689,1,2021-05-12T10:51:06.000Z,2021-08-12T21:49:05.000Z
9734,Saferune,SAFERUNE,saferune,4689,1,2021-05-12T10:51:06.000Z,2021-08-12T21:49:05.000Z
9734,Saferune,SAFERUNE,saferune,4689,1,2021-05-12T10:51:06.000Z,2021-08-12T21:49:05.000Z
9735,Xenon Pay,X2P,xenon-pay-ii,3550,1,2021-05-20T14:51:07.000Z,2021-08-12T21:46:05.000Z
9735,Xenon Pay,X2P,xenon-pay-ii,3550,1,2021-05-20T14:51:07.000Z,2021-08-12T21:46:05.000Z
9735,Xenon Pay,X2P,xenon-pay-ii,3550,1,2021-05-20T14:51:07.000Z,2021-08-12T21:46:05.000Z
9735,Xenon Pay,X2P,xenon-pay-ii,3550,1,2021-05-20T14:51:07.000Z,2021-08-12T21:46:05.000Z
9735,Xenon Pay,X2P,xenon-pay-ii,3550,1,2021-05-20T14:51:07.000Z,2021-08-12T21:46:05.000Z
9736,ShibaCash,SHIBACASH,shibacash,3922,1,2021-05-20T05:56:06.000Z,2021-08-12T21:46:05.000Z
9736,ShibaCash,SHIBACASH,shibacash,3922,1,2021-05-20T05:56:06.000Z,2021-08-12T21:46:05.000Z
9736,ShibaCash,SHIBACASH,shibacash,3922,1,2021-05-20T05:56:06.000Z,2021-08-12T21:46:05.000Z
9736,ShibaCash,SHIBACASH,shibacash,3922,1,2021-05-20T05:56:06.000Z,2021-08-12T21:46:05.000Z
9736,ShibaCash,SHIBACASH,shibacash,3922,1,2021-05-20T05:56:06.000Z,2021-08-12T21:46:05.000Z
9737,HummingBird Finance,HMNG,hummingbird-finance,3793,1,2021-05-12T12:09:07.000Z,2021-08-12T21:49:05.000Z
9737,HummingBird Finance,HMNG,hummingbird-finance,3793,1,2021-05-12T12:09:07.000Z,2021-08-12T21:49:05.000Z
9737,HummingBird Finance,HMNG,hummingbird-finance,3793,1,2021-05-12T12:09:07.000Z,2021-08-12T21:49:05.000Z
9737,HummingBird Finance,HMNG,hummingbird-finance,3793,1,2021-05-12T12:09:07.000Z,2021-08-12T21:49:05.000Z
9737,HummingBird Finance,HMNG,hummingbird-finance,3793,1,2021-05-12T12:09:07.000Z,2021-08-12T21:49:05.000Z
9738,Bitcoin and Ethereum Standard Token,BEST,bitcoin-and-ethereum-standard-token,3915,1,2021-05-22T15:31:05.000Z,2021-08-12T21:46:05.000Z
9738,Bitcoin and Ethereum Standard Token,BEST,bitcoin-and-ethereum-standard-token,3915,1,2021-05-22T15:31:05.000Z,2021-08-12T21:46:05.000Z
9738,Bitcoin and Ethereum Standard Token,BEST,bitcoin-and-ethereum-standard-token,3915,1,2021-05-22T15:31:05.000Z,2021-08-12T21:46:05.000Z
9738,Bitcoin and Ethereum Standard Token,BEST,bitcoin-and-ethereum-standard-token,3915,1,2021-05-22T15:31:05.000Z,2021-08-12T21:46:05.000Z
9738,Bitcoin and Ethereum Standard Token,BEST,bitcoin-and-ethereum-standard-token,3915,1,2021-05-22T15:31:05.000Z,2021-08-12T21:46:05.000Z
9739,Bird Finance,BIRD,bird-finance,5117,1,2021-05-12T12:18:07.000Z,2021-08-12T21:48:05.000Z
9739,Bird Finance,BIRD,bird-finance,5117,1,2021-05-12T12:18:07.000Z,2021-08-12T21:48:05.000Z
9739,Bird Finance,BIRD,bird-finance,5117,1,2021-05-12T12:18:07.000Z,2021-08-12T21:48:05.000Z
9739,Bird Finance,BIRD,bird-finance,5117,1,2021-05-12T12:18:07.000Z,2021-08-12T21:48:05.000Z
9739,Bird Finance,BIRD,bird-finance,5117,1,2021-05-12T12:18:07.000Z,2021-08-12T21:48:05.000Z
9740,Dot Finance,PINK,dot-finance,2705,1,2021-06-18T18:12:06.000Z,2021-08-12T21:47:05.000Z
9740,Dot Finance,PINK,dot-finance,2705,1,2021-06-18T18:12:06.000Z,2021-08-12T21:47:05.000Z
9740,Dot Finance,PINK,dot-finance,2705,1,2021-06-18T18:12:06.000Z,2021-08-12T21:47:05.000Z
9740,Dot Finance,PINK,dot-finance,2705,1,2021-06-18T18:12:06.000Z,2021-08-12T21:47:05.000Z
9740,Dot Finance,PINK,dot-finance,2705,1,2021-06-18T18:12:06.000Z,2021-08-12T21:47:05.000Z
9741,Solanium,SLIM,solanium,816,1,2021-06-01T15:16:06.000Z,2021-08-12T21:46:05.000Z
9741,Solanium,SLIM,solanium,816,1,2021-06-01T15:16:06.000Z,2021-08-12T21:46:05.000Z
9741,Solanium,SLIM,solanium,816,1,2021-06-01T15:16:06.000Z,2021-08-12T21:46:05.000Z
9741,Solanium,SLIM,solanium,816,1,2021-06-01T15:16:06.000Z,2021-08-12T21:46:05.000Z
9741,Solanium,SLIM,solanium,816,1,2021-06-01T15:16:06.000Z,2021-08-12T21:46:05.000Z
9742,ElonTech,ETCH,elontech,3305,1,2021-05-20T20:18:07.000Z,2021-08-12T21:48:05.000Z
9742,ElonTech,ETCH,elontech,3305,1,2021-05-20T20:18:07.000Z,2021-08-12T21:48:05.000Z
9742,ElonTech,ETCH,elontech,3305,1,2021-05-20T20:18:07.000Z,2021-08-12T21:48:05.000Z
9742,ElonTech,ETCH,elontech,3305,1,2021-05-20T20:18:07.000Z,2021-08-12T21:48:05.000Z
9742,ElonTech,ETCH,elontech,3305,1,2021-05-20T20:18:07.000Z,2021-08-12T21:48:05.000Z
